Accession number;Platform;No samples;Disease;Treatment;Processed
GSE179285;GPL6480;254;CD, UC, control;;Yes
GSE11223;GPL1708;202;UC, control;;Yes
GSE75214;GPL6244;194;CD, UC, control;;Yes
GSE92415;GPL13158;183;UC, control;;Yes
GSE73661;GPL6244;178;UC;Infliximab, Vedolizumab;Yes
GSE48634;GPL10558;171;CD, UC, control;;
GSE87473;GPL13158;127;UC, control;;
GSE3629;GPL570;121;UC, colorectal cancer;;
GSE59071;GPL6244;116;CD, UC;;Duplicate of GSE75214
GSE23597;GPL570;113;UC;Infliximab, Vedolizumab;Yes
GSE87466;GPL13158;108;UC, control;;
GSE16879;GPL570;73;CD, UC, control;Infliximab;Yes
GSE10616;GPL5760;58;CD, UC, control;;
GSE13367;GPL570;56;UC, control;;
GSE38713;GPL570;43;UC;;
GSE96665;GPL13607;41;CD, UC;;
GSE53306;GPL14951;40;UC, control;;
GSE52746;GPL17996;39;CD, control;Infliximab;Yes
GSE114527;GPL14951;38;UC;;
GSE6731;GPL8300;36;CD, UC;;
GSE36807;GPL570;35;CD, UC, control;;Yes
GSE9686;GPL5760;33;CD, UC, control;;
GSE14580;GPL570;30;UC;Infliximab;Duplicate of GSE16879
GSE22619;GPL570;30;UC;;Yes
GSE74265;GPL570;30;UC;;
GSE9452;GPL570;26;UC;;Yes
GSE12251;GPL570;23;UC;Infliximab;Duplicate of GSE23597
GSE1152;GPL96;12;CD, UC, control;;
GSE72780;GPL570;9;CD;;Yes
GSE111761;GPL13497;6;CD;anti-TNF;
GSE1141;GPL96;6;CD;;
GSE1142;GPL97;6;CD;;Duplicate of GSE1141