Hierarchy_ID,Representative,Size,Mean_NES,Pathways
1.1,Peroxisomal Protein Import R-HSA-9033241,45,-1.5712164418992243,"Glycerophospholipid Catabolism R-HSA-6814848; Synthesis Of PIPs At Late Endosome Membrane R-HSA-1660517; Synthesis Of PIPs At Golgi Membrane R-HSA-1660514; Beta Oxidation Of decanoyl-CoA To octanoyl-CoA-CoA R-HSA-77346; Beta Oxidation Of hexanoyl-CoA To butanoyl-CoA R-HSA-77350; Beta Oxidation Of lauroyl-CoA To decanoyl-CoA-CoA R-HSA-77310; Beta Oxidation Of octanoyl-CoA To hexanoyl-CoA R-HSA-77348; Beta-oxidation Of Very Long Chain Fatty Acids R-HSA-390247; Beta-oxidation Of pristanoyl-CoA R-HSA-389887; Glycosphingolipid Metabolism R-HSA-1660662; Synthesis Of IP3 And IP4 In Cytosol R-HSA-1855204; Metabolism Of Lipids R-HSA-556833; Cholesterol Biosynthesis R-HSA-191273; Acyl Chain Remodeling Of CL R-HSA-1482798; Lipid Particle Organization R-HSA-8964572; Mitochondrial Fatty Acid Beta-Oxidation Of Saturated Fatty Acids R-HSA-77286; Mitochondrial Fatty Acid Beta-Oxidation Of Unsaturated Fatty Acids R-HSA-77288; Mitochondrial Fatty Acid Beta-Oxidation R-HSA-77289; Mitochondrial Protein Import R-HSA-1268020; Carnitine Metabolism R-HSA-200425; Synthesis Of Epoxy (EET) And Dihydroxyeicosatrienoic Acids (DHET) R-HSA-2142670; Synthesis Of Ketone Bodies R-HSA-77111; Class I Peroxisomal Membrane Protein Import R-HSA-9603798; Sphingolipid Metabolism R-HSA-428157; Estrogen Biosynthesis R-HSA-193144; Synthesis Of PC R-HSA-1483191; Peroxisomal Lipid Metabolism R-HSA-390918; Synthesis Of PA R-HSA-1483166; Peroxisomal Protein Import R-HSA-9033241; Phospholipid Metabolism R-HSA-1483257; ABC Transporters In Lipid Homeostasis R-HSA-1369062; Ketone Body Metabolism R-HSA-74182; Protein Localization R-HSA-9609507; PI Metabolism R-HSA-1483255; Downregulation Of TGF-beta Receptor Signaling R-HSA-2173788; Synthesis Of IP2, IP, And Ins In Cytosol R-HSA-1855183; Fatty Acid Metabolism R-HSA-8978868; Alpha-oxidation Of Phytanate R-HSA-389599; Synthesis Of Pyrophosphates In Cytosol R-HSA-1855167; Synthesis Of PI R-HSA-1483226; Synthesis Of PIPs At Plasma Membrane R-HSA-1660499; Inositol Phosphate Metabolism R-HSA-1483249; Glycerophospholipid Biosynthesis R-HSA-1483206; TYSND1 Cleaves Peroxisomal Proteins R-HSA-9033500; Wax And Plasmalogen Biosynthesis R-HSA-8848584"
1.2,Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,38,-1.70232518536349,"Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201; Regulation Of Gene Expression In Early Pancreatic Precursor Cells R-HSA-210747; SUMOylation Of Transcription Cofactors R-HSA-3899300; Mitochondrial Biogenesis R-HSA-1592230; Tyrosine Catabolism R-HSA-8963684; Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517; Citric Acid Cycle (TCA Cycle) R-HSA-71403; Nuclear Receptor Transcription Pathway R-HSA-383280; Complex I Biogenesis R-HSA-6799198; PPARA Activates Gene Expression R-HSA-1989781; Cristae Formation R-HSA-8949613; MECP2 Regulates Transcription Factors R-HSA-9022707; NR1H2 And NR1H3 Regulate Gene Expression To Control Bile Acid Homeostasis R-HSA-9623433; Cytoprotection By HMOX1 R-HSA-9707564; Organelle Biogenesis And Maintenance R-HSA-1852241; RORA Activates Gene Expression R-HSA-1368082; NR1H2 And NR1H3 Regulate Gene Expression Linked To Lipogenesis R-HSA-9029558; Heme Signaling R-HSA-9707616; Pyruvate Metabolism And Citric Acid (TCA) Cycle R-HSA-71406; Pyruvate Metabolism R-HSA-70268; NR1H2 And NR1H3 Regulate Gene Expression Linked To Gluconeogenesis R-HSA-9632974; NR1H2 And NR1H3 Regulate Gene Expression To Limit Cholesterol Uptake R-HSA-9031525; Activation Of Caspases Thru Apoptosome-Mediated Cleavage R-HSA-111459; BBSome-mediated Cargo-Targeting To Cilium R-HSA-5620922; SMAC (DIABLO) Binds To IAPs R-HSA-111463; Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206; Regulation Of Pyruvate Dehydrogenase (PDH) Complex R-HSA-204174; Respiratory Electron Transport R-HSA-611105; Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200; Activation Of Gene Expression By SREBF (SREBP) R-HSA-2426168; Formation Of ATP By Chemiosmotic Coupling R-HSA-163210; Transcriptional Regulation Of White Adipocyte Differentiation R-HSA-381340; NR1H2 And NR1H3-mediated Signaling R-HSA-9024446; SUMOylation Of Intracellular Receptors R-HSA-4090294; Glyoxylate Metabolism And Glycine Degradation R-HSA-389661; Signaling By Retinoic Acid R-HSA-5362517; TP53 Regulates Metabolic Genes R-HSA-5628897; NR1H2 And NR1H3 Regulate Gene Expression Linked To Triglyceride Lipolysis In Adipose R-HSA-9031528"
1.3,Transmission Across Chemical Synapses R-HSA-112315,37,-1.2201975588740013,"DARPP-32 Events R-HSA-180024; Netrin-1 Signaling R-HSA-373752; Regulation Of MECP2 Expression And Activity R-HSA-9022692; Neurotransmitter Release Cycle R-HSA-112310; Protein-protein Interactions At Synapses R-HSA-6794362; Post NMDA Receptor Activation Events R-HSA-438064; Adenylate Cyclase Activating Pathway R-HSA-170660; Glutamate Binding, Activation Of AMPA Receptors And Synaptic Plasticity R-HSA-399721; Transmission Across Chemical Synapses R-HSA-112315; Dopamine Neurotransmitter Release Cycle R-HSA-212676; PKA-mediated Phosphorylation Of Key Metabolic Factors R-HSA-163358; CaM Pathway R-HSA-111997; CREB1 Phosphorylation Thru NMDA Receptor-Mediated Activation Of RAS Signaling R-HSA-442742; Highly Calcium Permeable Postsynaptic Nicotinic Acetylcholine Receptors R-HSA-629594; Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314; Neurotransmitter Clearance R-HSA-112311; DAG And IP3 Signaling R-HSA-1489509; ROBO Receptors Bind AKAP5 R-HSA-9010642; Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844; PLC Beta Mediated Events R-HSA-112043; Activation Of RAC1 Downstream Of NMDARs R-HSA-9619229; Transcriptional Regulation By MECP2 R-HSA-8986944; GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590; Loss Of MECP2 Binding Ability To NCoR/SMRT Complex R-HSA-9022537; PKA-mediated Phosphorylation Of CREB R-HSA-111931; Disorders Of Developmental Biology R-HSA-9675151; Phase 0 - Rapid Depolarisation R-HSA-5576892; PKA Activation R-HSA-163615; CREB1 Phosphorylation Thru Activation Of Adenylate Cyclase R-HSA-442720; Assembly And Cell Surface Presentation Of NMDA Receptors R-HSA-9609736; Highly Calcium Permeable Nicotinic Acetylcholine Receptors R-HSA-629597; Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755; Norepinephrine Neurotransmitter Release Cycle R-HSA-181430; PKA Activation In Glucagon Signaling R-HSA-164378; Ca-dependent Events R-HSA-111996; Estrogen-stimulated Signaling Thru PRKCZ R-HSA-9634635; RSK Activation R-HSA-444257"
1.4,Endosomal Sorting Complex Required For Transport (ESCRT) R-HSA-917729,29,-1.4438178646534792,"Mitophagy R-HSA-5205647; Translocation Of SLC2A4 (GLUT4) To Plasma Membrane R-HSA-1445148; Attenuation Phase R-HSA-3371568; Glycogen Breakdown (Glycogenolysis) R-HSA-70221; Translation Of Replicase And Assembly Of Replication Transcription Complex R-HSA-9679504; Autophagy R-HSA-9612973; Endosomal Sorting Complex Required For Transport (ESCRT) R-HSA-917729; PINK1-PRKN Mediated Mitophagy R-HSA-5205685; Macroautophagy R-HSA-1632852; MTOR Signaling R-HSA-165159; Energy Dependent Regulation Of mTOR By LKB1-AMPK R-HSA-380972; HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497; Budding And Maturation Of HIV Virion R-HSA-162588; Chaperone Mediated Autophagy R-HSA-9613829; TICAM1,TRAF6-dependent Induction Of TAK1 Complex R-HSA-9014325; Activation Of AMPK Downstream Of NMDARs R-HSA-9619483; Membrane Binding And Targetting Of GAG Proteins R-HSA-174490; Glycogen Synthesis R-HSA-3322077; Receptor Mediated Mitophagy R-HSA-8934903; mTORC1-mediated Signaling R-HSA-166208; Late Endosomal Microautophagy R-HSA-9615710; Selective Autophagy R-HSA-9663891; AMPK Inhibits chREBP Transcriptional Activity R-HSA-163680; Glycogen Metabolism R-HSA-8982491; Activation Of PPARGC1A (PGC-1alpha) By Phosphorylation R-HSA-2151209; Assembly Of HIV Virion R-HSA-175474; Pexophagy R-HSA-9664873; HSF1-dependent Transactivation R-HSA-3371571; Lipophagy R-HSA-9613354"
1.5,Glucuronidation R-HSA-156588,22,-1.4032179222742653,Cytochrome P450 - Arranged By Substrate Type R-HSA-211897; Abacavir ADME R-HSA-2161522; Abacavir Transmembrane Transport R-HSA-2161517; Transport And Synthesis Of PAPS R-HSA-174362; Atorvastatin ADME R-HSA-9754706; Phase II - Conjugation Of Compounds R-HSA-156580; Transport Of Nucleotide Sugars R-HSA-727802; Heme Biosynthesis R-HSA-189451; Aspirin ADME R-HSA-9749641; Paracetamol ADME R-HSA-9753281; Miscellaneous Substrates R-HSA-211958; Biological Oxidations R-HSA-211859; Cytosolic Sulfonation Of Small Molecules R-HSA-156584; RA Biosynthesis Pathway R-HSA-5365859; Multifunctional Anion Exchangers R-HSA-427601; Drug ADME R-HSA-9748784; Ethanol Oxidation R-HSA-71384; Vitamin D (Calciferol) Metabolism R-HSA-196791; Glucuronidation R-HSA-156588; Fatty Acids R-HSA-211935; Metabolic Disorders Of Biological Oxidation Enzymes R-HSA-5579029; Phase I - Functionalization Of Compounds R-HSA-211945
1.6,Cobalamin (Cbl) Metabolism R-HSA-9759218,20,-1.4075563376168634,"Defective HLCS Causes Multiple Carboxylase Deficiency R-HSA-3371599; Regulation Of FZD By Ubiquitination R-HSA-4641263; APC Truncation Mutants Have Impaired AXIN Binding R-HSA-5467337; Transport Of Gamma-Carboxylated Protein Precursors From Endoplasmic Reticulum To Golgi Apparatus R-HSA-159763; CTNNB1 S33 Mutants Not Phosphorylated R-HSA-5358747; Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741; Gluconeogenesis R-HSA-70263; Gamma-carboxylation Of Protein Precursors R-HSA-159740; Signaling By WNT In Cancer R-HSA-4791275; Defects In Biotin (Btn) Metabolism R-HSA-3323169; RAF Activation R-HSA-5673000; Defects In Vitamin And Cofactor Metabolism R-HSA-3296482; PP2A-mediated Dephosphorylation Of Key Metabolic Factors R-HSA-163767; Disassembly Of Destruction Complex And Recruitment Of AXIN To Membrane R-HSA-4641262; Defects In Cobalamin (B12) Metabolism R-HSA-3296469; Cobalamin (Cbl) Metabolism R-HSA-9759218; Beta-catenin Phosphorylation Cascade R-HSA-196299; Signaling By RNF43 Mutants R-HSA-5340588; Regulation Of Glycolysis By Fructose 2,6-Bisphosphate Metabolism R-HSA-9634600; Biotin Transport And Metabolism R-HSA-196780"
1.7,Ubiquinol Biosynthesis R-HSA-2142789,18,-1.3027425031524957,"Protein Methylation R-HSA-8876725; Reduction Of Cytosolic Ca++ Levels R-HSA-418359; Ubiquinol Biosynthesis R-HSA-2142789; Inactivation, Recovery And Regulation Of Phototransduction Cascade R-HSA-2514859; eNOS Activation R-HSA-203615; Sensory Processing Of Sound R-HSA-9659379; Ion Homeostasis R-HSA-5578775; Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360; Phototransduction Cascade R-HSA-2514856; Metabolism Of Cofactors R-HSA-8978934; RAS Processing R-HSA-9648002; Ion Channel Transport R-HSA-983712; TRP Channels R-HSA-3295583; Ion Transport By P-type ATPases R-HSA-936837; Metabolism Of Nitric Oxide: NOS3 Activation And Regulation R-HSA-202131; Sodium/Calcium Exchangers R-HSA-425561; Stimuli-sensing Channels R-HSA-2672351; Platelet Calcium Homeostasis R-HSA-418360"
1.8,Degradation Of Cysteine And Homocysteine R-HSA-1614558,16,-1.4859015247907295,"FOXO-mediated Transcription Of Cell Death Genes R-HSA-9614657; FOXO-mediated Transcription Of Oxidative Stress, Metabolic And Neuronal Genes R-HSA-9615017; Regulation Of FOXO Transcriptional Activity By Acetylation R-HSA-9617629; Degradation Of Cysteine And Homocysteine R-HSA-1614558; Creatine Metabolism R-HSA-71288; Sulfide Oxidation To Sulfate R-HSA-1614517; Choline Catabolism R-HSA-6798163; Branched-chain Amino Acid Catabolism R-HSA-70895; Glutamate And Glutamine Metabolism R-HSA-8964539; FOXO-mediated Transcription R-HSA-9614085; Protein Repair R-HSA-5676934; Methionine Salvage Pathway R-HSA-1237112; Metabolism Of Amino Acids And Derivatives R-HSA-71291; Lysine Catabolism R-HSA-71064; Sulfur Amino Acid Metabolism R-HSA-1614635; Aspartate And Asparagine Metabolism R-HSA-8963693"
1.9,Regulation Of Beta-Cell Development R-HSA-186712,9,-1.4212272270704507,Signaling By NOTCH2 R-HSA-1980145; NOTCH4 Intracellular Domain Regulates Transcription R-HSA-9013695; Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862; NOTCH2 Intracellular Domain Regulates Transcription R-HSA-2197563; Regulation Of Gene Expression In Beta Cells R-HSA-210745; Regulation Of Beta-Cell Development R-HSA-186712; Regulation Of Gene Expression In Late Stage (Branching Morphogenesis) Pancreatic Bud Precursor Cells R-HSA-210744; RUNX3 Regulates NOTCH Signaling R-HSA-8941856; NOTCH3 Intracellular Domain Regulates Transcription R-HSA-9013508
1.10,Zinc Transporters R-HSA-435354,5,-1.3331740146739457,"Metal Ion SLC Transporters R-HSA-425410; Transport Of Bile Salts And Organic Acids, Metal Ions And Amine Compounds R-HSA-425366; Zinc Transporters R-HSA-435354; Sodium-coupled Sulphate, Di- And Tri-Carboxylate Transporters R-HSA-433137; Zinc Influx Into Cells By SLC39 Gene Family R-HSA-442380"
1.11,NRAGE Signals Death Thru JNK R-HSA-193648,3,-1.13085847937524,"Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998; P75 NTR Receptor-Mediated Signaling R-HSA-193704; NRAGE Signals Death Thru JNK R-HSA-193648"
1.12,VLDL Clearance R-HSA-8964046,3,-1.0280825962323001,Plasma Lipoprotein Clearance R-HSA-8964043; VLDL Clearance R-HSA-8964046; VLDLR Internalisation And Degradation R-HSA-8866427
2.1,Interleukin-10 Signaling R-HSA-6783783,52,1.7128238332884733,"Interleukin-2 Family Signaling R-HSA-451927; Interleukin-2 Signaling R-HSA-9020558; Interleukin-20 Family Signaling R-HSA-8854691; Interleukin-21 Signaling R-HSA-9020958; Interleukin-23 Signaling R-HSA-9020933; Interleukin-27 Signaling R-HSA-9020956; Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988; Interleukin-35 Signaling R-HSA-8984722; Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807; Interleukin-6 Family Signaling R-HSA-6783589; Interleukin-6 Signaling R-HSA-1059683; Interleukin-9 Signaling R-HSA-8985947; Signaling By Erythropoietin R-HSA-9006335; MAPK1 (ERK2) Activation R-HSA-112411; Synthesis Of 15-Eicosatetraenoic Acid Derivatives R-HSA-2142770; Erythropoietin Activates STAT5 R-HSA-9027283; Nuclear Events Stimulated By ALK Signaling In Cancer R-HSA-9725371; Interleukin-37 Signaling R-HSA-9008059; Defective CSF2RA Causes SMDP4 R-HSA-5688890; IL-6-type Cytokine Receptor Ligand Interactions R-HSA-6788467; Surfactant Metabolism R-HSA-5683826; Cytokine Signaling In Immune System R-HSA-1280215; Erythropoietin Activates Phosphoinositide-3-kinase (PI3K) R-HSA-9027276; MAPK3 (ERK1) Activation R-HSA-110056; Erythropoietin Activates Phospholipase C Gamma (PLCG) R-HSA-9027277; Diseases Associated With Surfactant Metabolism R-HSA-5687613; RAF-independent MAPK1/3 Activation R-HSA-112409; Interleukin-7 Signaling R-HSA-1266695; Erythropoietin Activates RAS R-HSA-9027284; Signaling By PDGFRA Extracellular Domain Mutants R-HSA-9673770; Interleukin-18 Signaling R-HSA-9012546; Regulation Of IFNG Signaling R-HSA-877312; Other Interleukin Signaling R-HSA-449836; STAT5 Activation R-HSA-9645135; Signaling By Cytosolic FGFR1 Fusion Mutants R-HSA-1839117; Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505; Signaling By CSF3 (G-CSF) R-HSA-9674555; Signaling By Interleukins R-HSA-449147; STAT5 Activation Downstream Of FLT3 ITD Mutants R-HSA-9702518; Growth Hormone Receptor Signaling R-HSA-982772; Signaling By Leptin R-HSA-2586552; Signaling By PDGF R-HSA-186797; Signaling By KIT In Disease R-HSA-9669938; Signaling By SCF-KIT R-HSA-1433557; Inactivation Of CSF3 (G-CSF) Signaling R-HSA-9705462; TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway R-HSA-5676594; Interleukin Receptor SHC Signaling R-HSA-912526; TNFs Bind Their Physiological Receptors R-HSA-5669034; Interleukin-10 Signaling R-HSA-6783783; Interleukin-12 Family Signaling R-HSA-447115; Interleukin-12 Signaling R-HSA-9020591; Interleukin-15 Signaling R-HSA-8983432"
2.2,Interferon Alpha/Beta Signaling R-HSA-909733,34,1.6784451564532372,"Infectious Disease R-HSA-5663205; Adaptive Immune System R-HSA-1280218; Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430; APOBEC3G Mediated Resistance To HIV-1 R-HSA-180689; Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170; Modulation By Mtb Of Host Immune System R-HSA-9637628; Nef-mediated Downmodulation Of Cell Surface Receptors By Recruitment To Clathrin Adapters R-HSA-164938; Trafficking And Processing Of Endosomal TLR R-HSA-1679131; Early Phase Of HIV Life Cycle R-HSA-162594; MHC Class II Antigen Presentation R-HSA-2132295; Butyrophilin (BTN) Family Interactions R-HSA-8851680; 2-LTR Circle Formation R-HSA-164843; Nef Mediated Downregulation Of MHC Class I Complex Cell Surface Expression R-HSA-164940; PD-1 Signaling R-HSA-389948; Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427; RHOH GTPase Cycle R-HSA-9013407; Potential Therapeutics For SARS R-HSA-9679191; Suppression Of Apoptosis R-HSA-9635465; DAP12 Signaling R-HSA-2424491; Endosomal/Vacuolar Pathway R-HSA-1236977; Regulation Of IFNA/IFNB Signaling R-HSA-912694; Attachment And Entry R-HSA-9678110; OAS Antiviral Response R-HSA-8983711; Role Of Nef In HIV-1 Replication And Disease Pathogenesis R-HSA-164952; SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671; Response Of Mtb To Phagocytosis R-HSA-9637690; Infection With Mycobacterium Tuberculosis R-HSA-9635486; Generation Of Second Messenger Molecules R-HSA-202433; DAP12 Interactions R-HSA-2172127; SARS-CoV Infections R-HSA-9679506; Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933; Interferon Alpha/Beta Signaling R-HSA-909733; Interferon Gamma Signaling R-HSA-877300; Interferon Signaling R-HSA-913531"
