Hierarchy_ID,Representative,Size,Mean_NES,Pathways
2.3,Costimulation By CD28 Family R-HSA-388841,30,1.4668748083584382,"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558; Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695; Regulation Of Signaling By CBL R-HSA-912631; PI3K/AKT Signaling In Cancer R-HSA-2219528; CTLA4 Inhibitory Signaling R-HSA-389513; FCERI Mediated Ca+2 Mobilization R-HSA-2871809; FCGR Activation R-HSA-2029481; FCGR3A-mediated Phagocytosis R-HSA-9664422; CD22 Mediated BCR Regulation R-HSA-5690714; CD28 Co-Stimulation R-HSA-389356; Role Of LAT2/NTAL/LAB On Calcium Mobilization R-HSA-2730905; Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480; RHO GTPases Activate WASPs And WAVEs R-HSA-5663213; FLT3 Signaling Thru SRC Family Kinases R-HSA-9706374; Regulation Of KIT Signaling R-HSA-1433559; CD28 Dependent Vav1 Pathway R-HSA-389359; Nef And Signal Transduction R-HSA-164944; EGFR Transactivation By Gastrin R-HSA-2179392; GPVI-mediated Activation Cascade R-HSA-114604; Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530; Negative Regulation Of PI3K/AKT Network R-HSA-199418; EPHB-mediated Forward Signaling R-HSA-3928662; Interleukin-36 Pathway R-HSA-9014826; Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202; PECAM1 Interactions R-HSA-210990; Costimulation By CD28 Family R-HSA-388841; CD209 (DC-SIGN) Signaling R-HSA-5621575; FCGR3A-mediated IL10 Synthesis R-HSA-9664323; Dectin-2 Family R-HSA-5621480; CD28 Dependent PI3K/Akt Signaling R-HSA-389357"
2.4,Cell Surface Interactions At Vascular Wall R-HSA-202733,30,1.414542625778693,"Terminal Pathway Of Complement R-HSA-166665; Nitric Oxide Stimulates Guanylate Cyclase R-HSA-392154; Platelet Aggregation (Plug Formation) R-HSA-76009; GP1b-IX-V Activation Signaling R-HSA-430116; Loss Of Function Of TGFBR1 In Cancer R-HSA-3656534; SMAD2/3 Phosphorylation Motif Mutants In Cancer R-HSA-3304356; Extrinsic Pathway Of Fibrin Clot Formation R-HSA-140834; Dissolution Of Fibrin Clot R-HSA-75205; MAPK Family Signaling Cascades R-HSA-5683057; Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) Bind RNA R-HSA-428359; Defective Factor IX Causes Hemophilia B R-HSA-9668250; Defective Factor VIII Causes Hemophilia A R-HSA-9662001; Signaling By BRAF And RAF1 Fusions R-HSA-6802952; Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005; p130Cas Linkage To MAPK Signaling For Integrins R-HSA-372708; Cell Surface Interactions At Vascular Wall R-HSA-202733; Common Pathway Of Fibrin Clot Formation R-HSA-140875; Basigin Interactions R-HSA-210991; Oncogenic MAPK Signaling R-HSA-6802957; Platelet Degranulation R-HSA-114608; Hemostasis R-HSA-109582; GRB2:SOS Provides Linkage To MAPK Signaling For Integrins R-HSA-354194; Na+/Cl- Dependent Neurotransmitter Transporters R-HSA-442660; Smooth Muscle Contraction R-HSA-445355; Integrin Signaling R-HSA-354192; Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877; Amino Acid Transport Across Plasma Membrane R-HSA-352230; Platelet Activation, Signaling And Aggregation R-HSA-76002; Platelet Adhesion To Exposed Collagen R-HSA-75892; Defects Of Contact Activation System (CAS) And Kallikrein/Kinin System (KKS) R-HSA-9651496"
2.5,Detoxification Of Reactive Oxygen Species R-HSA-3299685,21,1.4129426663218336,VEGFA-VEGFR2 Pathway R-HSA-4420097; Detoxification Of Reactive Oxygen Species R-HSA-3299685; RHO GTPases Activate NADPH Oxidases R-HSA-5668599; PTK6 Expression R-HSA-8849473; VEGF Binds To VEGFR Leading To Receptor Dimerization R-HSA-195399; ROS And RNS Production In Phagocytes R-HSA-1222556; Nuclear Signaling By ERBB4 R-HSA-1251985; RAC1 GTPase Cycle R-HSA-9013149; Signaling By Membrane-Tethered Fusions Of PDGFRA Or PDGFRB R-HSA-9673768; NOTCH4 Activation And Transmission Of Signal To Nucleus R-HSA-9013700; Noncanonical Activation Of NOTCH3 R-HSA-9017802; STAT3 Nuclear Events Downstream Of ALK Signaling R-HSA-9701898; FLT3 Signaling By CBL Mutants R-HSA-9706377; Signaling By ALK R-HSA-201556; PTK6 Promotes HIF1A Stabilization R-HSA-8857538; Signaling By Receptor Tyrosine Kinases R-HSA-9006934; Signaling By VEGF R-HSA-194138; Regulated Proteolysis Of p75NTR R-HSA-193692; Cross-presentation Of Particulate Exogenous Antigens (Phagosomes) R-HSA-1236973; IRS Activation R-HSA-74713; RAC3 GTPase Cycle R-HSA-9013423
2.6,Unfolded Protein Response (UPR) R-HSA-381119,9,1.6662952730753544,Unfolded Protein Response (UPR) R-HSA-381119; PERK Regulates Gene Expression R-HSA-381042; XBP1(S) Activates Chaperone Genes R-HSA-381038; ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033; Scavenging By Class F Receptors R-HSA-3000484; IRE1alpha Activates Chaperones R-HSA-381070; Response Of EIF2AK1 (HRI) To Heme Deficiency R-HSA-9648895; ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183; ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994
2.7,CRMPs In Sema3A Signaling R-HSA-399956,4,1.1916099206505417,CRMPs In Sema3A Signaling R-HSA-399956; Sema3A PAK Dependent Axon Repulsion R-HSA-399954; Semaphorin Interactions R-HSA-373755; SEMA3A-Plexin Repulsion Signaling By Inhibiting Integrin Adhesion R-HSA-399955
3.1,Antigen processing-Cross Presentation R-HSA-1236975,81,1.642943457154044,Transcriptional Regulation By RUNX1 R-HSA-8878171; Ubiquitin-dependent Degradation Of Cyclin D R-HSA-75815; Antigen processing-Cross Presentation R-HSA-1236975; Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169; C-type Lectin Receptors (CLRs) R-HSA-5621481; Beta-catenin Independent WNT Signaling R-HSA-3858494; Stabilization Of P53 R-HSA-69541; Signaling By NOTCH4 R-HSA-9013694; Nuclear Events Mediated By NFE2L2 R-HSA-9759194; ABC-family Proteins Mediated Transport R-HSA-382556; Defective CFTR Causes Cystic Fibrosis R-HSA-5678895; Degradation Of DVL R-HSA-4641258; Disorders Of Transmembrane Transporters R-HSA-5619115; Transcriptional Regulation By RUNX3 R-HSA-8878159; Downstream TCR Signaling R-HSA-202424; ER-Phagosome Pathway R-HSA-1236974; Neurofascin Interactions R-HSA-447043; FCERI Mediated NF-kB Activation R-HSA-2871837; Hedgehog Ligand Biogenesis R-HSA-5358346; Activation Of SMO R-HSA-5635838; Hh Mutants Abrogate Ligand Secretion R-HSA-5387390; NrCAM Interactions R-HSA-447038; Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253; UCH Proteinases R-HSA-5689603; Regulation Of RAS By GAPs R-HSA-5658442; CLEC7A (Dectin-1) Signaling R-HSA-5607764; Degradation Of GLI2 By Proteasome R-HSA-5610783; Downstream Signaling Events Of B Cell Receptor (BCR) R-HSA-1168372; ABC Transporter Disorders R-HSA-5619084; GLI3 Is Processed To GLI3R By Proteasome R-HSA-5610785; Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202; TCF Dependent Signaling In Response To WNT R-HSA-201681; Interleukin-1 Signaling R-HSA-9020702; Transport Of Organic Anions R-HSA-879518; Hh Mutants Are Degraded By ERAD R-HSA-5362768; Activation Of NF-kappaB In B Cells R-HSA-1169091; MAPK1/MAPK3 Signaling R-HSA-5684996; MAPK6/MAPK4 Signaling R-HSA-5687128; Regulation Of RUNX3 Expression And Activity R-HSA-8941858; Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425; Cellular Hexose Transport R-HSA-189200; Degradation Of GLI1 By Proteasome R-HSA-5610780; Oxygen-dependent Proline Hydroxylation Of Hypoxia-inducible Factor Alpha R-HSA-1234176; Dectin-1 Mediated Noncanonical NF-kB Signaling R-HSA-5607761; Regulation Of Apoptosis R-HSA-169911; FBXL7 Down-Regulates AURKA During Mitotic Entry And In Early Mitosis R-HSA-8854050; Regulation Of Activated PAK-2p34 By Proteasome Mediated Degradation R-HSA-211733; Degradation Of AXIN R-HSA-4641257; AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408; Axon Guidance R-HSA-422475; Vpu Mediated Degradation Of CD4 R-HSA-180534; Ub-specific Processing Proteases R-HSA-5689880; Cellular Response To Hypoxia R-HSA-1234174; Programmed Cell Death R-HSA-5357801; Cross-presentation Of Soluble Exogenous Antigens (Endosomes) R-HSA-1236978; Regulation Of Ornithine Decarboxylase (ODC) R-HSA-350562; Negative Regulation Of NOTCH4 Signaling R-HSA-9604323; Cellular Response To Chemical Stress R-HSA-9711123; Signaling By Hedgehog R-HSA-5358351; RAF/MAP Kinase Cascade R-HSA-5673001; Hedgehog Off State R-HSA-5610787; Nervous System Development R-HSA-9675108; PTEN Regulation R-HSA-6807070; RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236; Hedgehog On State R-HSA-5632684; Transcriptional Regulation By RUNX2 R-HSA-8878166; Regulation Of RUNX2 Expression And Activity R-HSA-8939902; KEAP1-NFE2L2 Pathway R-HSA-9755511; Apoptosis R-HSA-109581; Regulation Of PTEN Stability And Activity R-HSA-8948751; Signaling By B Cell Receptor (BCR) R-HSA-983705; Metabolism Of Polyamines R-HSA-351202; PCP/CE Pathway R-HSA-4086400; NIK To Noncanonical NF-kB Signaling R-HSA-5676590; Host Interactions Of HIV Factors R-HSA-162909; Signaling By NOTCH R-HSA-157118; Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531; Vif-mediated Degradation Of APOBEC3G R-HSA-180585; Asymmetric Localization Of PCP Proteins R-HSA-4608870; TCR Signaling R-HSA-202403; TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541
3.2,p53-Dependent G1 DNA Damage Response R-HSA-69563,31,1.5663568163802055,Assembly Of Pre-Replicative Complex R-HSA-68867; p53-Dependent G1 DNA Damage Response R-HSA-69563; Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184; Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656; G1/S Transition R-HSA-69206; SCF-beta-TrCP Mediated Degradation Of Emi1 R-HSA-174113; CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017; GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114; Separation Of Sister Chromatids R-HSA-2467813; TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest R-HSA-6804116; APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178; APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419; Orc1 Removal From Chromatin R-HSA-68949; DNA Replication Pre-Initiation R-HSA-69002; Regulation Of TP53 Activity Thru Association With Co-factors R-HSA-6804759; G2/M Checkpoints R-HSA-69481; Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084; Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814; APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154; Mitotic G1 Phase And G1/S Transition R-HSA-453279; Switching Of Origins To A Post-Replicative State R-HSA-69052; SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577; Ubiquitin Mediated Degradation Of Phosphorylated Cdc25A R-HSA-69601; Cyclin E Associated Events During G1/S Transition R-HSA-69202; Cell Cycle Checkpoints R-HSA-69620; APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143; Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408; APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409; Synthesis Of DNA R-HSA-69239; G1/S DNA Damage Checkpoints R-HSA-69615; DNA Replication R-HSA-69306
3.3,Phosphorylation Of Emi1 R-HSA-176417,18,1.2738051945989222,"Initiation Of Nuclear Envelope (NE) Reformation R-HSA-2995383; Mitotic Metaphase And Anaphase R-HSA-2555396; Mitotic Anaphase R-HSA-68882; Phosphorylation Of Emi1 R-HSA-176417; M Phase R-HSA-68886; Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942; Mitotic G2-G2/M Phases R-HSA-453274; G2/M Transition R-HSA-69275; Post-chaperonin Tubulin Folding Pathway R-HSA-389977; Activation Of NIMA Kinases NEK9, NEK6, NEK7 R-HSA-2980767; Cell Cycle, Mitotic R-HSA-69278; Carboxyterminal Post-Translational Modifications Of Tubulin R-HSA-8955332; Glycolysis R-HSA-70171; AURKA Activation By TPX2 R-HSA-8854518; Depolymerisation Of Nuclear Lamina R-HSA-4419969; Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912; Role Of GTSE1 In G2/M Progression After G2 Checkpoint R-HSA-8852276; Loss Of Nlp From Mitotic Centrosomes R-HSA-380259"
4.1,Collagen Formation R-HSA-1474290,32,1.87366431026719,Type I Hemidesmosome Assembly R-HSA-446107; Activation Of Matrix Metalloproteinases R-HSA-1592389; Laminin Interactions R-HSA-3000157; Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090; MET Activates PTK2 Signaling R-HSA-8874081; NCAM1 Interactions R-HSA-419037; Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782; Cell Junction Organization R-HSA-446728; Cell-Cell Communication R-HSA-1500931; Cell-extracellular Matrix Interactions R-HSA-446353; Molecules Associated With Elastic Fibres R-HSA-2129379; Non-integrin membrane-ECM Interactions R-HSA-3000171; Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814; Collagen Chain Trimerization R-HSA-8948216; Collagen Degradation R-HSA-1442490; Collagen Formation R-HSA-1474290; MET Interacts With TNS Proteins R-HSA-8875513; Crosslinking Of Collagen Fibrils R-HSA-2243919; Regulation Of Cytoskeletal Remodeling And Cell Spreading By IPP Complex Components R-HSA-446388; Fibronectin Matrix Formation R-HSA-1566977; Signal Transduction By L1 R-HSA-445144; Degradation Of Extracellular Matrix R-HSA-1474228; Anchoring Fibril Formation R-HSA-2214320; CHL1 Interactions R-HSA-447041; Elastic Fibre Formation R-HSA-1566948; Extracellular Matrix Organization R-HSA-1474244; Scavenging Of Heme From Plasma R-HSA-2168880; Scavenging By Class A Receptors R-HSA-3000480; Signal Regulatory Protein Family Interactions R-HSA-391160; NCAM Signaling For Neurite Out-Growth R-HSA-375165; Syndecan Interactions R-HSA-3000170; Integrin Cell Surface Interactions R-HSA-216083
4.2,Chondroitin Sulfate Biosynthesis R-HSA-2022870,23,1.5229654413272014,"Defective B4GALT7 Causes EDS, Progeroid Type R-HSA-3560783; Defective CHST3 Causes SEDCJD R-HSA-3595172; Defective CHSY1 Causes TPBS R-HSA-3595177; Dermatan Sulfate Biosynthesis R-HSA-2022923; GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475; Metabolism Of Fat-Soluble Vitamins R-HSA-6806667; Defective EXT1 Causes Exostoses 1, TRPS2 And CHDS R-HSA-3656253; Diseases Associated With Glycosaminoglycan Metabolism R-HSA-3560782; Hyaluronan Metabolism R-HSA-2142845; HS-GAG Degradation R-HSA-2024096; Early SARS-CoV-2 Infection Events R-HSA-9772572; Diseases Of Glycosylation R-HSA-3781865; CS/DS Degradation R-HSA-2024101; HS-GAG Biosynthesis R-HSA-2022928; Heparan Sulfate/Heparin (HS-GAG) Metabolism R-HSA-1638091; Chondroitin Sulfate Biosynthesis R-HSA-2022870; Hyaluronan Uptake And Degradation R-HSA-2160916; Glycosaminoglycan Metabolism R-HSA-1630316; Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185; Defective CHST14 Causes EDS, Musculocontractural Type R-HSA-3595174; Retinoid Metabolism And Transport R-HSA-975634; Defective B3GALT6 Causes EDSP2 And SEMDJL1 R-HSA-4420332; Defective B3GAT3 Causes JDSSDHD R-HSA-3560801"
4.3,Termination Of O-glycan Biosynthesis R-HSA-977068,15,1.409575410070281,Defective B3GALTL Causes PpS R-HSA-5083635; Translation Of Structural Proteins R-HSA-9683701; Defective C1GALT1C1 Causes TNPS R-HSA-5083632; Defective GALNT3 Causes HFTC R-HSA-5083625; Nicotinamide Salvaging R-HSA-197264; Maturation Of Protein 3A R-HSA-9683673; Late SARS-CoV-2 Infection Events R-HSA-9772573; SARS-CoV-1 Infection R-HSA-9678108; O-linked Glycosylation Of Mucins R-HSA-913709; O-linked Glycosylation R-HSA-5173105; Maturation Of Nucleoprotein R-HSA-9683610; Nicotinate Metabolism R-HSA-196807; SARS-CoV-2 Infection R-HSA-9694516; Termination Of O-glycan Biosynthesis R-HSA-977068; O-glycosylation Of TSR Domain-Containing Proteins R-HSA-5173214
4.4,Cargo Concentration In ER R-HSA-5694530,13,1.3697339541186742,Synthesis Of Substrates In N-glycan Biosythesis R-HSA-446219; Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193; GDP-fucose Biosynthesis R-HSA-6787639; Asparagine N-linked Glycosylation R-HSA-446203; Synthesis Of Dolichyl-phosphate R-HSA-446199; Transport To Golgi And Subsequent Modification R-HSA-948021; COPI-mediated Anterograde Transport R-HSA-6807878; ER To Golgi Anterograde Transport R-HSA-199977; Golgi-to-ER Retrograde Transport R-HSA-8856688; COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434; Synthesis Of UDP-N-acetyl-glucosamine R-HSA-446210; COPII-mediated Vesicle Transport R-HSA-204005; Cargo Concentration In ER R-HSA-5694530
4.5,ECM Proteoglycans R-HSA-3000178,7,1.1407506949620811,Defective CHST6 Causes MCDC1 R-HSA-3656225; Defective ST3GAL3 Causes MCT12 And EIEE15 R-HSA-3656243; Defective B4GALT1 Causes B4GALT1-CDG (CDG-2d) R-HSA-3656244; Keratan Sulfate/Keratin Metabolism R-HSA-1638074; Keratan Sulfate Biosynthesis R-HSA-2022854; Keratan Sulfate Degradation R-HSA-2022857; ECM Proteoglycans R-HSA-3000178
4.6,HDL Remodeling R-HSA-8964058,6,1.3036781594558664,Chylomicron Assembly R-HSA-8963888; Chylomicron Remodeling R-HSA-8963901; HDL Remodeling R-HSA-8964058; Plasma Lipoprotein Assembly R-HSA-8963898; LDL Remodeling R-HSA-8964041; Plasma Lipoprotein Remodeling R-HSA-8963899
5.1,Interleukin-1 Family Signaling R-HSA-446652,22,1.534598873144188,"Pyroptosis R-HSA-5620971; p75NTR Signals Via NF-kB R-HSA-193639; ZBP1(DAI) Mediated Induction Of Type I IFNs R-HSA-1606322; Inflammasomes R-HSA-622312; CLEC7A/inflammasome Pathway R-HSA-5660668; TP53 Regulates Transcription Of Caspase Activators And Caspases R-HSA-6803207; Interleukin-1 Processing R-HSA-448706; MyD88-independent TLR4 Cascade R-HSA-166166; NOD1/2 Signaling Pathway R-HSA-168638; DEx/H-box Helicases Activate Type I IFN And Inflammatory Cytokines Production R-HSA-3134963; Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643; DDX58/IFIH1-mediated Induction Of Interferon-Alpha/Beta R-HSA-168928; SUMOylation Of Immune Response Proteins R-HSA-4755510; RIP-mediated NFkB Activation Via ZBP1 R-HSA-1810476; TRAF6 Mediated NF-kB Activation R-HSA-933542; TAK1-dependent IKK And NF-kappa-B Activation R-HSA-445989; Advanced Glycosylation Endproduct Receptor Signaling R-HSA-879415; IkBA Variant Leads To EDA-ID R-HSA-5603029; Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424; Interleukin-1 Family Signaling R-HSA-446652; NLRP3 Inflammasome R-HSA-844456; Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164"
5.2,Neutrophil Degranulation R-HSA-6798695,21,1.592334302228319,Toll-like Receptor Cascades R-HSA-168898; Defensins R-HSA-1461973; Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016; Transport Of RCbl Within Body R-HSA-9758890; Acyl Chain Remodelling Of PC R-HSA-1482788; Beta Defensins R-HSA-1461957; Diseases Associated With TLR Signaling Cascade R-HSA-5602358; Antimicrobial Peptides R-HSA-6803157; Activation Of IRF3/IRF7 Mediated By TBK1/IKK Epsilon R-HSA-936964; Regulation Of TLR By Endogenous Ligand R-HSA-5686938; Metal Sequestration By Antimicrobial Proteins R-HSA-6799990; MyD88 Deficiency (TLR2/4) R-HSA-5602498; TICAM1-dependent Activation Of IRF3/IRF7 R-HSA-9013973; MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058; Alpha-defensins R-HSA-1462054; Neutrophil Degranulation R-HSA-6798695; IRAK4 Deficiency (TLR2/4) R-HSA-5603041; Acyl Chain Remodelling Of PG R-HSA-1482925; Hydrolysis Of LPC R-HSA-1483115; TRIF-mediated Programmed Cell Death R-HSA-2562578; Synthesis Of Leukotrienes (LT) And Eoxins (EX) R-HSA-2142691
